Date,Gold,Silver,Oil,EURUSD,JPYUSD,DXY,UST10Y,Bund10Y
2020-01-01,1524.5,17.965999603271484,61.18000030517578,1.1220825910568237,0.009201240725815296,96.8499984741211,1.8819999694824219,145.5800018310547
2020-01-02,1524.5,17.965999603271484,61.18000030517578,1.1220825910568237,0.009198532439768314,96.8499984741211,1.8819999694824219,145.5800018310547
2020-01-03,1549.199951171875,18.06800079345703,63.04999923706055,1.1171437501907349,0.009212939068675041,96.83999633789062,1.7879999876022339,146.22500610351562
2020-01-06,1566.199951171875,18.097000122070312,63.27000045776367,1.1161960363388062,0.009262346662580967,96.66999816894531,1.8109999895095825,146.13499450683594
2020-01-07,1571.800048828125,18.31599998474121,62.70000076293945,1.1197994947433472,0.00922458153218031,96.9800033569336,1.8270000219345093,146.1199951171875
2020-01-08,1557.4000244140625,18.08799934387207,59.61000061035156,1.1154738664627075,0.009257887490093708,97.30000305175781,1.8739999532699585,145.8300018310547
2020-01-09,1551.699951171875,17.860000610351562,59.560001373291016,1.1113210916519165,0.009171703830361366,97.44999694824219,1.8580000400543213,145.39500427246094
2020-01-10,1557.5,18.033000946044922,59.040000915527344,1.1111111640930176,0.009131835773587227,97.36000061035156,1.8250000476837158,145.47500610351562
2020-01-13,1548.4000244140625,17.926000595092773,58.08000183105469,1.1116669178009033,0.009126918390393257,97.3499984741211,1.8480000495910645,145.02000427246094
2020-01-14,1542.4000244140625,17.673999786376953,58.22999954223633,1.1135733127593994,0.009091570973396301,97.37000274658203,1.8179999589920044,145.1999969482422
2020-01-15,1552.0999755859375,17.92300033569336,57.810001373291016,1.113089919090271,0.009102991782128811,97.2300033569336,1.7879999876022339,145.55999755859375
2020-01-16,1549.0,17.875,58.52000045776367,1.1154004335403442,0.009100588969886303,97.31999969482422,1.809000015258789,145.65499877929688
2020-01-17,1558.800048828125,18.01300048828125,58.540000915527344,1.1139578819274902,0.009076468646526337,97.61000061035156,1.8359999656677246,145.6999969482422
2020-01-20,1558.800048828125,18.01300048828125,58.540000915527344,1.1094592809677124,0.009076057001948357,97.61000061035156,1.8359999656677246,145.60499572753906
2020-01-21,1556.4000244140625,17.750999450683594,58.34000015258789,1.109693169593811,0.009076634421944618,97.52999877929688,1.7690000534057617,146.0749969482422
2020-01-22,1555.300048828125,17.770999908447266,56.7400016784668,1.108561396598816,0.009098518639802933,97.52999877929688,1.7690000534057617,146.09500122070312
2020-01-23,1564.5999755859375,17.773000717163086,55.59000015258789,1.1096439361572266,0.00911344401538372,97.69000244140625,1.7400000095367432,146.09500122070312
2020-01-24,1571.0999755859375,18.05699920654297,54.189998626708984,1.1055220365524292,0.00912808533757925,97.8499984741211,1.680999994277954,146.7899932861328
2020-01-27,1576.800048828125,18.0,53.13999938964844,1.1025358438491821,0.009191007353365421,97.95999908447266,1.6050000190734863,147.35000610351562
2020-01-28,1569.199951171875,17.402000427246094,53.47999954223633,1.101976990699768,0.009181050583720207,98.0199966430664,1.6410000324249268,146.9949951171875
2020-01-29,1569.800048828125,17.430999755859375,53.33000183105469,1.1022562980651855,0.009163214825093746,97.98999786376953,1.593999981880188,147.2550048828125
2020-01-30,1583.5,17.95199966430664,52.13999938964844,1.1016855239868164,0.009175405837595463,97.87000274658203,1.5579999685287476,147.67999267578125
2020-01-31,1582.9000244140625,17.972000122070312,51.560001373291016,1.1029127836227417,0.009184676222503185,97.38999938964844,1.5199999809265137,147.67999267578125
2020-02-03,1577.199951171875,17.639999389648438,50.11000061035156,1.1089794635772705,0.00922747515141964,97.80000305175781,1.5199999809265137,147.97500610351562
2020-02-04,1550.4000244140625,17.527999877929688,49.61000061035156,1.1062926054000854,0.009207085706293583,97.95999908447266,1.6030000448226929,147.57000732421875
2020-02-05,1557.800048828125,17.569000244140625,50.75,1.1047282218933105,0.00913684256374836,98.2699966430664,1.6490000486373901,147.1199951171875
2020-02-06,1565.0999755859375,17.788999557495117,50.95000076293945,1.1002310514450073,0.009106306359171867,98.5,1.6440000534057617,147.03500366210938
2020-02-07,1568.5999755859375,17.665000915527344,50.31999969482422,1.0982975959777832,0.009093554690480232,98.68000030517578,1.5779999494552612,147.27999877929688
2020-02-10,1574.699951171875,17.757999420166016,49.56999969482422,1.0949305295944214,0.009120343253016472,98.83000183105469,1.5470000505447388,147.5449981689453
2020-02-11,1565.5999755859375,17.572999954223633,49.939998626708984,1.0913456678390503,0.009110289625823498,98.72000122070312,1.590000033378601,147.32000732421875
2020-02-12,1567.4000244140625,17.47800064086914,51.16999816894531,1.091941475868225,0.009103902615606785,99.05000305175781,1.6299999952316284,147.17999267578125
2020-02-13,1575.0999755859375,17.600000381469727,51.41999816894531,1.0875948667526245,0.009103653952479362,99.06999969482422,1.6169999837875366,147.32000732421875
2020-02-14,1582.699951171875,17.71500015258789,52.04999923706055,1.0845986604690552,0.009110952727496624,99.12000274658203,1.5880000591278076,147.56500244140625
2020-02-17,1582.699951171875,17.71500015258789,52.04999923706055,1.0841753482818604,0.009108214639127254,99.12000274658203,1.5880000591278076,147.44500732421875
